Make,Model,MPG-H,MPG-C
Acura,CL,26.78,17.0
Acura,ILX,35.12,24.62
Acura,ILX Hybrid,38.0,39.0
Acura,Integra,28.17,21.83
Acura,Legend,23.19,16.0
Acura,MDX,26.74,18.85
Acura,NSX,22.0,17.0
Acura,RDX,27.92,19.5
Acura,RL,23.33,16.67
Acura,RLX,31.0,21.33
Acura,RSX,30.27,22.47
Acura,SLX,17.5,13.0
Acura,TL,27.3,18.83
Acura,TLX,33.43,21.86
Acura,TSX,29.88,21.06
Acura,TSX Sport Wagon,30.0,22.0
Acura,Vigor,24.0,18.0
Acura,ZDX,23.0,16.0
Alfa Romeo,4C,34.0,24.0
Aston Martin,DB7,16.75,10.0
Aston Martin,DB9,19.0,13.0
Aston Martin,DB9 GT,19.0,13.0
Aston Martin,DBS,17.5,11.5
Aston Martin,Rapide,19.0,13.0
Aston Martin,Rapide S,21.0,13.67
Aston Martin,V12 Vanquish,16.5,10.25
Aston Martin,V12 Vantage,17.0,11.0
Aston Martin,V12 Vantage S,18.0,12.0
Aston Martin,V8 Vantage,20.0,13.5
Aston Martin,Vanquish,20.5,13.0
Aston Martin,Virage,18.0,13.0
Audi,100,21.64,16.27
Audi,200,21.5,15.67
Audi,80,23.67,17.17
Audi,90,22.83,17.0
Audi,A3,35.02,25.13
Audi,A4,32.28,23.52
Audi,A4 allroad,28.0,23.0
Audi,A5,28.78,20.33
Audi,A6,46.35,22.3
Audi,A7,32.3,21.5
Audi,A8,28.83,18.5
Audi,Cabriolet,22.0,17.0
Audi,Coupe,22.0,15.5
Audi,Q3,28.29,20.0
Audi,Q5,28.4,21.0
Audi,Q7,25.0,17.8
Audi,R8,21.0,12.64
Audi,RS 4,19.67,12.67
Audi,RS 5,22.67,16.0
Audi,RS 6,20.0,14.0
Audi,RS 7,25.67,15.33
Audi,S3,30.0,22.33
Audi,S4,27.0,17.5
Audi,S5,26.67,17.67
Audi,S6,27.0,17.8
Audi,S7,27.0,17.0
Audi,S8,25.25,15.75
Audi,SQ5,24.0,17.0
Audi,TT,30.33,22.67
Audi,TT RS,25.0,18.0
